state,District,MPCE_URP,MPCE_MRP,state_1
23,2,861.67,975.23,MP
23,2,818.2,921.76,MP
23,2,1434.25,1747.09,MP
23,2,998.09,1182.72,MP
23,2,795.82,962.38,MP
23,2,731.43,870.88,MP
23,9,4040.4,2485.67,MP
23,9,12707.0,11461.11,MP
23,9,1416.33,1548.71,MP
23,9,1803.5,1785.99,MP
23,9,1693.14,1481.38,MP
23,9,2026.0,2192.16,MP
23,9,702.8,806.75,MP
23,9,627.6,656.7,MP
23,1,2887.0,2802.48,MP
23,1,2251.0,2518.4,MP
23,1,1084.4,1285.17,MP
23,1,853.67,948.74,MP
23,1,1394.89,1589.74,MP
23,1,1074.8,1308.53,MP
23,1,595.0,763.9,MP
23,1,1041.25,1054.91,MP
23,1,2502.0,3429.4,MP
23,1,1858.6,2168.44,MP
23,1,1631.8,1782.25,MP
23,1,1610.17,1628.4,MP
23,1,1111.67,1137.74,MP
23,1,1429.0,1354.55,MP
23,1,763.0,724.34,MP
23,1,1065.0,1004.93,MP
23,23,14852.5,7512.33,MP
23,23,9516.5,2613.45,MP
23,23,1581.0,1319.47,MP
23,23,3395.75,2755.1,MP
23,23,1614.5,1164.79,MP
23,23,1199.0,983.93,MP
23,23,663.13,575.09,MP
23,23,990.0,1003.84,MP
23,24,3006.2,2769.6,MP
23,24,3142.75,2609.36,MP
23,24,2638.6,1808.52,MP
23,24,2813.0,2370.36,MP
23,24,1204.17,1155.94,MP
23,24,988.2,764.68,MP
23,24,1552.6,1161.04,MP
23,24,1421.43,1055.54,MP
23,50,5235.0,4083.15,MP
23,50,1372.75,1106.36,MP
23,50,2210.5,1966.66,MP
23,50,1421.33,1415.42,MP
23,50,1044.67,923.99,MP
23,50,4355.0,4541.85,MP
23,50,720.5,637.35,MP
23,50,1165.8,838.76,MP
23,22,5493.0,5472.45,MP
23,22,4554.0,6099.51,MP
23,22,1812.33,1697.88,MP
23,22,2494.67,1828.25,MP
23,22,3339.25,2412.3,MP
23,22,2796.4,2964.06,MP
23,22,1199.0,1566.88,MP
23,22,942.67,1038.65,MP
23,46,2324.0,2648.06,MP
23,46,1804.83,1746.98,MP
23,46,1763.0,1438.74,MP
23,46,976.8,823.52,MP
23,46,1485.75,1173.54,MP
23,46,1480.33,1418.3,MP
23,46,795.57,741.2,MP
23,46,747.5,709.36,MP
23,30,5129.0,5741.92,MP
23,30,3633.0,3046.01,MP
23,30,3249.0,2786.26,MP
23,30,2818.67,2888.85,MP
23,30,1681.4,1555.95,MP
23,30,1802.33,1861.42,MP
23,30,1116.0,1123.58,MP
23,30,751.0,665.14,MP
23,21,1797.25,1831.7,MP
23,21,1507.0,1716.81,MP
23,21,3028.0,3209.23,MP
23,21,2349.25,1419.49,MP
23,21,3185.0,3581.71,MP
23,21,2989.5,2967.34,MP
23,21,1591.67,1503.98,MP
23,21,1156.83,1191.08,MP
23,2,2755.25,1949.64,MP
23,2,1865.0,2079.59,MP
23,2,1441.0,1443.33,MP
23,2,1631.0,1627.1,MP
23,2,1257.56,1200.32,MP
23,2,1444.6,1511.26,MP
23,2,662.5,693.53,MP
23,2,797.0,846.28,MP
23,21,6289.0,5475.85,MP
23,21,3360.0,4312.09,MP
23,21,5079.0,5782.36,MP
23,21,4396.75,5320.71,MP
23,21,4491.5,2640.44,MP
23,21,1399.0,1621.31,MP
23,21,1856.0,1755.21,MP
23,21,4772.67,2804.49,MP
23,18,3937.0,3199.28,MP
23,18,6585.67,4667.4,MP
23,18,1521.0,1370.62,MP
23,18,1847.6,1905.47,MP
23,18,4357.67,3760.3,MP
23,18,2137.67,1657.62,MP
23,18,2251.5,2255.88,MP
23,18,1073.57,1019.03,MP
23,5,2096.5,2007.44,MP
23,5,6807.5,5513.85,MP
23,5,1057.75,1025.97,MP
23,5,1414.33,1407.76,MP
23,5,887.0,864.74,MP
23,5,1286.33,1442.36,MP
23,5,797.0,756.43,MP
23,5,647.67,597.28,MP
23,6,27721.0,19277.78,MP
23,6,8924.0,9335.58,MP
23,6,14929.0,24608.74,MP
23,6,3797.0,3042.75,MP
23,6,1128.83,1242.16,MP
23,6,2777.33,3049.48,MP
23,6,1770.0,1740.41,MP
23,9,1637.0,1563.64,MP
23,9,1164.67,1288.06,MP
23,9,1097.0,1176.89,MP
23,9,1269.5,1349.91,MP
23,9,1446.0,1560.66,MP
23,9,1034.83,1069.72,MP
23,9,1026.33,1155.4,MP
23,9,842.0,954.0,MP
23,4,3460.25,3703.37,MP
23,4,3558.5,3680.97,MP
23,4,1503.25,1528.22,MP
23,4,1612.0,1761.95,MP
23,4,1611.5,1955.47,MP
23,4,1626.33,1791.72,MP
23,4,1783.33,1812.79,MP
23,4,771.56,753.09,MP
23,8,3069.33,2672.8,MP
23,8,1965.0,1841.85,MP
23,8,1262.67,1062.47,MP
23,8,2083.0,1831.15,MP
23,8,2321.0,1929.89,MP
23,8,1032.6,892.21,MP
23,8,1000.0,913.95,MP
23,8,879.83,820.72,MP
23,7,3850.67,3543.22,MP
23,7,7915.5,6461.66,MP
23,7,1387.0,1590.97,MP
23,7,2108.6,1725.23,MP
23,7,1346.33,989.69,MP
23,7,1986.5,1771.4,MP
23,7,1042.5,949.62,MP
23,7,738.0,655.23,MP
23,4,1876.57,1846.17,MP
23,4,1832.38,1951.13,MP
23,4,1484.33,1385.84,MP
23,4,2101.25,1587.21,MP
23,4,1097.75,939.07,MP
23,4,1728.75,1568.82,MP
23,4,877.75,824.33,MP
23,4,1018.8,781.94,MP
23,19,3424.0,2026.74,MP
23,19,2824.33,3604.52,MP
23,19,2489.25,2642.78,MP
23,19,5456.33,3923.27,MP
23,19,2466.0,3438.6,MP
23,19,8857.0,4673.92,MP
23,19,2432.5,2481.58,MP
23,19,817.0,906.73,MP
23,3,3100.25,2201.91,MP
